Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6895385,Land,cairo 6th of october bait el watan bait el watan el asasy,"21,000,000 EGP","23,569 EGP/M²",891 m²,N/A,N/A,N/A,N/A,N/A,Corner,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6895385-for-sale-cairo-6th-of-october-bait-el-watan-bait-el-watan-el-asasy/
EG-6889894,Roof,https://aqarmap.com.eg/en/listing/6889894 projects evora mall,"3,434,000 EGP","101,000 EGP/M²",N/A,N/A,N/A,10,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889894-projects-evora-mall/
EG-6890454,Unknown,cairo new cairo bait el watan seventh neighborhood,"16,000,000 EGP","18,182 EGP/M²",880 m²,N/A,N/A,N/A,N/A,N/A,Main Street,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6890454-for-sale-cairo-new-cairo-bait-el-watan-seventh-neighborhood/
EG-6895414,Land,cairo 6th of october jml bd lnsr,"39,000,000 EGP","30,000 EGP/M²",1300 m²,N/A,N/A,N/A,N/A,N/A,Corner,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6895414-for-sale-cairo-6th-of-october-jml-bd-lnsr/
EG-6889899,Roof,https://aqarmap.com.eg/en/listing/6889899 projects evora mall,"3,636,000 EGP","101,000 EGP/M²",N/A,N/A,N/A,9,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889899-projects-evora-mall/
EG-6889888,Roof,https://aqarmap.com.eg/en/listing/6889888 projects evora mall,"4,173,000 EGP","107,000 EGP/M²",N/A,N/A,N/A,10,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889888-projects-evora-mall/
EG-6889898,Roof,https://aqarmap.com.eg/en/listing/6889898 projects evora mall,"4,134,000 EGP","106,000 EGP/M²",N/A,N/A,N/A,9,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889898-projects-evora-mall/
EG-6889870,Roof,https://aqarmap.com.eg/en/listing/6889870 projects evora mall,"3,162,000 EGP","102,000 EGP/M²",N/A,N/A,N/A,4,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889870-projects-evora-mall/
EG-6889871,Roof,https://aqarmap.com.eg/en/listing/6889871 projects evora mall,"3,328,000 EGP","104,000 EGP/M²",N/A,N/A,N/A,5,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889871-projects-evora-mall/
EG-6889869,Roof,https://aqarmap.com.eg/en/listing/6889869 projects evora mall,"7,665,000 EGP","105,000 EGP/M²",N/A,N/A,N/A,12,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889869-projects-evora-mall/
